城市,日期,最高温度,最低温度,白天天气状况,晚间天气状况,风向,风力,风速(公里/小时),相对湿度,降水量,紫外线强度指数,能见度(公里)
牡丹江,2020-01-09,-6,-18,晴,晴,西北风,1-2,4,84,0.0,2,25
牡丹江,2020-01-10,-5,-18,多云,多云,西北风,1-2,7,90,0.0,2,24
佳木斯,2020-01-04,-9,-19,晴,晴,西风,1-2,6,90,0.0,2,25
佳木斯,2020-01-05,-8,-20,晴,多云,东北风,1-2,7,90,0.0,2,25
佳木斯,2020-01-06,-12,-18,多云,小雪,西南风,1-2,6,97,0.0,1,1
佳木斯,2020-01-07,-9,-20,晴,晴,北风,1-2,10,94,0.0,2,24
佳木斯,2020-01-08,-7,-18,晴,晴,东风,1-2,10,91,0.0,2,25
佳木斯,2020-01-09,-6,-19,晴,晴,东北风,1-2,3,88,0.0,2,25
佳木斯,2020-01-10,-5,-22,晴,晴,东北风,1-2,1,94,0.0,2,23
绥化,2020-01-04,-12,-17,晴,晴,西北风,1-2,9,98,0.0,2,9
绥化,2020-01-05,-7,-15,晴,多云,东北风,1-2,7,95,0.0,2,21
绥化,2020-01-06,-6,-16,大雪,大雪,西风,1-2,4,96,0.0,1,9
绥化,2020-01-07,-7,-17,晴,晴,北风,1-2,8,92,0.0,2,24
绥化,2020-01-08,-10,-18,晴,多云,东风,1-2,8,99,0.0,2,13
绥化,2020-01-09,-8,-17,晴,多云,东北风,1-2,6,97,0.0,2,23
绥化,2020-01-10,-11,-16,多云,多云,北风,1-2,7,99,0.0,2,13
黑河,2020-01-04,-13,-24,晴,晴,西北风,1-2,10,93,0.0,1,25
黑河,2020-01-05,-14,-23,晴,多云,西北风,1-2,8,97,0.0,1,14
黑河,2020-01-06,-17,-24,多云,多云,东南风,1-2,11,96,0.0,1,6
黑河,2020-01-07,-14,-23,多云,晴,西北风,1-2,2,86,0.0,1,24
黑河,2020-01-08,-12,-23,晴,晴,西北风,1-2,9,89,0.0,1,25
黑河,2020-01-09,-13,-22,晴,多云,西风,1-2,11,96,0.0,1,21
黑河,2020-01-10,-14,-22,多云,多云,西北风,1-2,6,91,0.0,1,23
大兴安岭,2020-01-04,-11,-24,晴,晴,西风,1-2,7,89,0.0,1,25
大兴安岭,2020-01-05,-8,-24,晴,小雪,西北风,1-2,3,98,0.0,1,13
大兴安岭,2020-01-06,-9,-28,中雪,晴,北风,1-2,8,93,0.0,1,24
大兴安岭,2020-01-07,-11,-25,晴,晴,西风,1-2,9,83,0.0,1,25
大兴安岭,2020-01-08,-9,-24,晴,多云,西风,1-2,4,85,0.0,1,25
大兴安岭,2020-01-09,-9,-24,多云,多云,东风,1-2,8,97,0.0,1,14
大兴安岭,2020-01-10,-12,-28,多云,晴,北风,1-2,11,89,0.0,1,24
伊春,2020-01-04,-11,-26,晴,晴,西风,3-4,23,95,0.0,2,24
伊春,2020-01-05,-7,-26,晴,晴,西北风,1-2,3,93,0.0,2,24
伊春,2020-01-06,-7,-28,小雪,阵雪,东风,1-2,3,97,0.0,1,1
伊春,2020-01-07,-10,-27,晴,晴,西北风,1-2,8,92,0.8,2,24
伊春,2020-01-08,-10,-28,晴,多云,西风,1-2,2,96,0.0,2,23
伊春,2020-01-09,-5,-26,晴,多云,东北风,1-2,11,93,0.0,2,24
伊春,2020-01-10,-7,-26,多云,多云,西风,1-2,2,98,0.0,2,5
大庆,2020-01-04,-9,-21,晴,晴,西风,1-2,9,92,0.0,2,25
大庆,2020-01-05,-6,-20,晴,多云,西南风,1-2,4,94,0.0,2,24
大庆,2020-01-06,-7,-22,小雪,多云,西南风,1-2,8,93,0.0,2,23
大庆,2020-01-07,-10,-23,晴,晴,西风,1-2,2,93,0.0,2,25
大庆,2020-01-08,-9,-23,晴,晴,西风,1-2,11,86,0.0,2,25
大庆,2020-01-09,-8,-22,晴,多云,北风,1-2,7,96,0.0,2,24
大庆,2020-01-10,-9,-23,晴,多云,西风,1-2,6,95,0.0,2,24
七台河,2020-01-04,-11,-23,晴,晴,西北风,1-2,10,90,0.0,2,24
七台河,2020-01-05,-7,-22,晴,晴,西风,1-2,11,89,0.0,2,24
七台河,2020-01-06,-8,-20,阵雪,小雪,西北风,1-2,4,96,0.0,2,1
七台河,2020-01-07,-10,-26,晴,晴,西北风,1-2,10,99,0.0,1,7
七台河,2020-01-08,-10,-24,晴,晴,西风,1-2,3,94,0.0,2,24
七台河,2020-01-09,-9,-25,晴,晴,西风,1-2,2,82,0.0,2,25
七台河,2020-01-10,-9,-22,多云,晴,西风,1-2,11,97,0.0,2,10
鸡西,2020-01-04,-8,-14,晴,晴,西北风,3-4,22,89,0.0,2,25
鸡西,2020-01-05,-5,-13,晴,多云,西风,3-4,21,87,0.0,2,25
鸡西,2020-01-06,-4,-13,多云,中雪,西风,1-2,2,96,0.0,2,1
鸡西,2020-01-07,-7,-17,晴,晴,北风,1-2,6,94,0.0,1,24
鸡西,2020-01-08,-7,-15,晴,晴,西北风,1-2,6,88,0.0,2,24
鸡西,2020-01-09,-6,-16,晴,晴,西风,1-2,2,84,0.0,2,25
鸡西,2020-01-10,-7,-16,多云,多云,西风,3-4,15,92,0.0,2,22
鹤岗,2020-01-04,-9,-22,晴,晴,西北风,1-2,3,85,0.0,2,25
鹤岗,2020-01-05,-6,-22,晴,晴,东风,1-2,10,88,0.0,2,25
鹤岗,2020-01-06,-9,-22,多云,多云,北风,1-2,5,96,0.0,1,1
鹤岗,2020-01-07,-9,-24,晴,晴,西风,1-2,5,85,0.0,2,24
鹤岗,2020-01-08,-7,-22,晴,晴,东风,1-2,9,84,0.0,2,25
鹤岗,2020-01-09,-5,-22,晴,多云,东北风,1-2,9,87,0.0,2,24
鹤岗,2020-01-10,-8,-23,晴,多云,东北风,1-2,1,90,0.0,2,25
双鸭山,2020-01-04,-9,-15,晴,晴,西风,1-2,9,91,0.0,2,21
双鸭山,2020-01-05,-6,-14,多云,多云,西风,1-2,4,92,0.0,2,24
双鸭山,2020-01-06,-7,-16,多云,小雪,西南风,1-2,2,96,0.0,1,1
双鸭山,2020-01-07,-7,-15,阵雪,晴,西北风,1-2,8,91,0.9,1,22
双鸭山,2020-01-08,-6,-15,晴,晴,东风,1-2,10,90,0.0,2,22
双鸭山,2020-01-09,-6,-15,晴,多云,东风,1-2,3,85,0.0,2,24
双鸭山,2020-01-10,-6,-15,多云,小雪,东风,1-2,2,95,0.0,2,13
长春,2020-01-04,-8,-13,晴,晴,西风,1-2,6,92,0.0,1,24
长春,2020-01-05,-2,-9,晴,多云,西南风,1-2,11,80,0.0,2,25
长春,2020-01-06,-1,-15,小到中雪,小雪,西南风,3-4,22,98,0.0,1,3
长春,2020-01-07,-10,-16,多云,多云,西北风,1-2,5,99,0.0,2,24
长春,2020-01-08,-9,-15,多云,晴,北风,1-2,5,82,0.0,2,25
长春,2020-01-09,-7,-14,晴,晴,西南风,1-2,6,85,0.0,2,25
长春,2020-01-10,-6,-16,晴,晴,无持续风向,1-2,11,93,0.0,2,24
吉林,2020-01-04,-6,-18,晴,晴,无持续风向,1-2,6,86,0.0,1,24
吉林,2020-01-05,-2,-17,晴,晴,无持续风向,1-2,5,78,0.0,2,25
吉林,2020-01-06,0,-11,小雪,小雪,无持续风向,1-2,1,96,0.0,1,1
吉林,2020-01-07,-9,-20,晴,晴,无持续风向,1-2,8,99,0.0,2,10
吉林,2020-01-08,-11,-22,晴,晴,无持续风向,1-2,6,82,0.0,2,24
吉林,2020-01-09,-8,-20,晴,多云,无持续风向,1-2,11,73,0.0,2,25
吉林,2020-01-10,-4,-14,晴,晴,无持续风向,1-2,5,99,0.0,2,20
延边,2020-01-04,-2,-13,多云,晴,西风,3-4,24,84,0.0,1,25
延边,2020-01-05,-1,-12,晴,晴,西风,1-2,7,81,0.0,2,25
延边,2020-01-06,-3,-10,多云,多云,东风,1-2,1,96,0.0,1,14
延边,2020-01-07,-1,-10,多云,多云,西风,3-4,17,90,0.0,2,24
延边,2020-01-08,-2,-13,多云,晴,西风,3-4,17,78,0.0,2,25
延边,2020-01-09,0,-14,晴,晴,西风,1-2,8,76,0.0,2,25
延边,2020-01-10,-3,-14,晴,晴,无持续风向,1-2,2,83,0.0,1,25
四平,2020-01-04,-4,-17,晴,晴,西北风,1-2,2,89,0.0,1,24
四平,2020-01-05,0,-12,晴,多云,西南风,1-2,11,74,0.0,4,25
四平,2020-01-06,-2,-18,小雪,晴,西南风,1-2,4,98,0.0,1,7
四平,2020-01-07,-6,-19,晴,晴,西北风,1-2,11,96,0.0,2,24
四平,2020-01-08,-7,-18,晴,晴,东北风,1-2,9,78,0.0,2,25
四平,2020-01-09,-6,-18,晴,多云,西南风,1-2,8,85,0.0,2,25
四平,2020-01-10,-6,-19,晴,晴,无持续风向,1-2,8,87,0.0,2,25
通化,2020-01-04,-2,-19,晴,晴,西南风,1-2,7,91,0.0,1,25
通化,2020-01-05,-1,-16,晴,多云,西风,1-2,10,79,0.0,2,25
通化,2020-01-06,-1,-13,小雪,多云,西风,1-2,4,96,0.0,1,7
通化,2020-01-07,-4,-11,多云,多云,北风,1-2,10,97,0.0,2,20
通化,2020-01-08,-2,-17,晴,晴,北风,1-2,8,84,0.0,2,24
通化,2020-01-09,-1,-14,晴,晴,西风,1-2,6,80,0.0,2,25
通化,2020-01-10,-3,-15,晴,晴,无持续风向,1-2,7,93,0.0,2,22
白城,2020-01-04,-5,-16,晴,晴,西风,1-2,5,79,0.0,2,25
白城,2020-01-05,-5,-15,晴,晴,西风,1-2,3,93,0.0,2,18
白城,2020-01-06,-7,-16,晴,晴,南风,1-2,11,89,0.0,2,24
白城,2020-01-07,-7,-17,多云,晴,北风,3-4,14,76,0.0,2,25
白城,2020-01-08,-6,-21,晴,晴,西风,3-4,19,73,0.0,2,25
白城,2020-01-09,-7,-18,晴,多云,东北风,3-4,18,79,0.0,2,25
白城,2020-01-10,-5,-18,晴,晴,无持续风向,1-2,1,82,0.0,2,25
辽源,2020-01-04,-4,-19,晴,晴,西风,1-2,10,83,0.0,1,24
辽源,2020-01-05,1,-14,晴,多云,西南风,1-2,3,73,0.0,3,25
辽源,2020-01-06,0,-19,小雪,多云,西南风,1-2,6,98,0.0,1,4
辽源,2020-01-07,-1,-18,晴,多云,北风,1-2,5,99,0.0,2,23
辽源,2020-01-08,-4,-21,多云,晴,北风,1-2,6,73,0.0,2,25
辽源,2020-01-09,-3,-20,晴,多云,西南风,1-2,5,76,0.0,2,25
辽源,2020-01-10,-4,-17,晴,晴,无持续风向,1-2,7,90,0.0,2,24
松原,2020-01-04,13,2,Sunny,Clear,NW,1-2,7,57,0.0,3,25
松原,2020-01-05,12,2,Overcast,Cloudy,NE,1-2,7,63,0.0,3,25
松原,2020-01-06,12,10,Overcast,Cloudy,SE,1-2,6,74,0.0,1,25
松原,2020-01-07,16,14,Light Rain,Moderate Rain,S,1-2,9,80,4.1,1,21
松原,2020-01-08,16,6,Light Rain,Cloudy,NW,1-2,11,63,2.2,1,24
松原,2020-01-09,11,3,Overcast,Overcast,NE,1-2,9,64,0.0,3,25
松原,2020-01-10,11,5,Cloudy,Overcast,NE,1-2,4,59,0.0,3,25
白山,2020-01-04,-4,-21,晴,晴,西风,1-2,7,92,0.0,2,24
白山,2020-01-05,-1,-20,晴,晴,西北风,1-2,11,79,0.0,2,25
白山,2020-01-06,-1,-13,小雪,小雪,西南风,1-2,7,96,0.0,1,10
白山,2020-01-07,-2,-15,晴,多云,西风,1-2,11,95,0.0,2,24
白山,2020-01-08,-3,-23,多云,晴,东北风,1-2,8,82,0.0,2,25
白山,2020-01-09,-2,-20,晴,多云,东北风,1-2,2,80,0.0,2,25
白山,2020-01-10,-5,-14,晴,晴,无持续风向,1-2,2,90,0.0,2,24
沈阳,2020-01-04,-2,-16,重度霾,重度霾,西北风,1-2,3,85,0.0,2,25
沈阳,2020-01-05,1,-7,中度霾,中度霾,东南风,1-2,10,74,0.0,1,24
沈阳,2020-01-06,2,-14,中度霾,多云,东南风,1-2,3,90,0.0,1,24
沈阳,2020-01-07,-6,-15,多云,多云,北风,4-5,29,91,0.0,1,24
沈阳,2020-01-08,-6,-17,晴,晴,北风,3-4,22,84,0.0,2,25
沈阳,2020-01-09,-3,-15,晴,晴,北风,1-2,9,80,0.0,2,25
沈阳,2020-01-10,0,-11,晴,晴,无持续风向,1-2,4,87,0.0,2,25
大连,2020-01-04,5,-2,晴,晴,北风,4-5,31,51,0.0,6,25
大连,2020-01-05,5,0,多云,阴,东南风,4-5,25,77,0.0,2,25
大连,2020-01-06,6,-2,阴,多云,东南风,4-5,31,67,0.0,1,24
大连,2020-01-07,3,-5,多云,阴,北风,6-7,47,71,0.0,1,25
大连,2020-01-08,1,-5,多云,晴,北风,5-6,36,55,0.0,2,25
大连,2020-01-09,2,-2,晴,晴,西北风,4-5,25,66,0.0,2,25
大连,2020-01-10,4,-2,晴,晴,北风,3-4,20,56,0.0,1,25
鞍山,2020-01-04,1,-6,霾,霾,南风,3-4,22,79,0.0,1,25
鞍山,2020-01-05,3,-2,霾,晴,南风,3-4,24,64,0.0,2,23
鞍山,2020-01-06,3,-4,多云,多云,南风,3-4,14,85,0.0,1,23
鞍山,2020-01-07,-1,-9,多云,晴,北风,3-4,24,90,0.0,1,17
鞍山,2020-01-08,-2,-9,晴,晴,北风,3-4,12,82,0.0,2,24
鞍山,2020-01-09,-1,-6,晴,晴,北风,3-4,24,69,0.0,2,25
鞍山,2020-01-10,2,-7,晴,晴,北风,3-4,19,85,0.0,2,25
抚顺,2020-01-04,-2,-18,晴,晴,西北风,3-4,18,84,0.0,1,24
抚顺,2020-01-05,1,-8,晴,多云,西南风,3-4,14,72,0.0,3,25
抚顺,2020-01-06,2,-13,多云,多云,西北风,3-4,17,96,0.0,1,22
抚顺,2020-01-07,-3,-15,晴,多云,东北风,3-4,21,94,0.0,2,24
抚顺,2020-01-08,-1,-20,晴,晴,北风,4-5,32,78,0.0,2,25
抚顺,2020-01-09,-2,-18,晴,晴,北风,1-2,1,80,0.0,2,25
抚顺,2020-01-10,-2,-15,晴,晴,无持续风向,1-2,4,89,0.0,2,24
本溪,2020-01-04,-1,-13,中度霾,中度霾,西北风,1-2,11,79,0.0,2,25
本溪,2020-01-05,4,-10,中度霾,中度霾,东南风,1-2,5,69,0.0,0,23
本溪,2020-01-06,3,-10,中度霾,多云,东南风,1-2,3,95,0.0,1,11
本溪,2020-01-07,-4,-11,多云,多云,北风,3-4,20,96,0.0,1,10
本溪,2020-01-08,-3,-14,多云,晴,北风,3-4,12,80,0.0,2,24
本溪,2020-01-09,0,-11,晴,晴,西北风,1-2,10,73,0.0,2,25
本溪,2020-01-10,0,-8,晴,晴,无持续风向,1-2,11,94,0.0,2,19
丹东,2020-01-04,3,-9,晴,晴,北风,1-2,11,71,0.0,4,25
丹东,2020-01-05,2,-6,多云,多云,北风,1-2,5,69,0.0,2,24
丹东,2020-01-06,2,-4,多云,多云,南风,1-2,6,84,0.0,1,24
丹东,2020-01-07,2,-5,多云,多云,北风,3-4,21,66,0.0,1,25
丹东,2020-01-08,2,-10,晴,晴,北风,3-4,14,61,0.0,2,25
丹东,2020-01-09,3,-9,晴,多云,北风,1-2,1,56,0.0,2,25
丹东,2020-01-10,0,-8,晴,晴,无持续风向,1-2,5,71,0.0,2,25
锦州,2020-01-04,4,-8,晴,晴,北风,3-4,12,80,0.0,4,25
锦州,2020-01-05,3,-7,晴,多云,南风,3-4,14,94,0.0,4,9
锦州,2020-01-06,2,-8,多云,多云,南风,3-4,16,71,0.0,1,24
锦州,2020-01-07,-2,-10,晴,晴,北风,4-5,28,77,0.0,1,25
锦州,2020-01-08,2,-10,晴,晴,北风,4-5,27,81,0.0,2,25
锦州,2020-01-09,3,-8,晴,晴,北风,3-4,19,85,0.0,2,25
锦州,2020-01-10,1,-6,晴,晴,无持续风向,1-2,11,73,0.0,2,25
营口,2020-01-04,0,-9,大雾,中度霾,东北风,1-2,3,81,0.0,1,25
营口,2020-01-05,1,-8,中度霾,雨夹雪,东南风,1-2,11,78,0.0,2,24
营口,2020-01-06,3,-4,雨夹雪,多云,南风,3-4,17,79,0.0,1,24
营口,2020-01-07,-4,-11,多云,多云,北风,5-6,39,80,0.0,1,25
营口,2020-01-08,-3,-13,多云,晴,北风,4-5,29,77,0.0,2,25
营口,2020-01-09,-2,-9,晴,多云,北风,3-4,20,74,0.0,2,25
营口,2020-01-10,0,-9,晴,晴,无持续风向,1-2,6,71,0.0,2,25
阜新,2020-01-04,1,-16,霾,中度霾,西北风,3-4,13,75,0.0,2,25
阜新,2020-01-05,1,-12,中度霾,阵雪,西南风,3-4,18,93,0.0,1,13
阜新,2020-01-06,3,-12,多云,晴,北风,3-4,21,83,0.0,1,24
阜新,2020-01-07,-3,-13,晴,晴,北风,4-5,25,84,0.0,1,25
阜新,2020-01-08,-3,-16,晴,晴,北风,3-4,21,72,0.0,2,25
阜新,2020-01-09,-1,-14,晴,晴,北风,3-4,18,79,0.0,2,25
阜新,2020-01-10,0,-13,晴,晴,无持续风向,1-2,6,80,0.0,2,25
辽阳,2020-01-04,0,-12,中度霾,中度霾,北风,1-2,5,80,0.0,2,25
辽阳,2020-01-05,3,-5,重度霾,重度霾,东南风,1-2,8,65,0.0,2,22
辽阳,2020-01-06,2,-12,小雪,多云,西南风,3-4,19,86,0.0,1,24
辽阳,2020-01-07,-3,-14,多云,多云,北风,3-4,14,89,0.0,1,18
辽阳,2020-01-08,-2,-14,多云,晴,北风,3-4,18,86,0.0,2,24
辽阳,2020-01-09,-1,-13,晴,多云,北风,3-4,22,71,0.0,2,25
辽阳,2020-01-10,2,-9,晴,晴,无持续风向,1-2,8,87,0.0,2,25
铁岭,2020-01-04,-3,-15,霾,霾,西南风,1-2,9,84,0.0,1,25
铁岭,2020-01-05,0,-8,霾,霾,西南风,1-2,3,76,0.0,0,25
铁岭,2020-01-06,1,-15,霾,多云,西北风,1-2,1,95,0.0,1,23
铁岭,2020-01-07,-7,-16,多云,多云,西北风,3-4,24,95,0.0,2,24
铁岭,2020-01-08,-7,-18,多云,晴,西北风,1-2,8,80,0.0,2,25
铁岭,2020-01-09,-4,-16,晴,晴,东南风,1-2,9,81,0.0,2,25
铁岭,2020-01-10,-1,-11,晴,晴,无持续风向,1-2,7,88,0.0,2,25
朝阳,2020-01-04,3,-14,晴,晴,西北风,1-2,4,69,0.0,4,25
朝阳,2020-01-05,2,-5,多云,阵雪,西南风,3-4,14,96,0.0,2,2
朝阳,2020-01-06,4,-8,多云,晴,西风,3-4,24,79,0.0,1,24
朝阳,2020-01-07,-1,-9,多云,多云,东北风,5-6,40,77,0.0,1,25
朝阳,2020-01-08,0,-13,多云,晴,北风,3-4,23,63,0.0,2,25
朝阳,2020-01-09,2,-10,晴,多云,西南风,1-2,10,62,0.0,2,25
朝阳,2020-01-10,-2,-11,晴,晴,无持续风向,1-2,11,72,0.0,2,25
盘锦,2020-01-04,0,-11,霾,霾,北风,3-4,13,84,0.0,2,25
盘锦,2020-01-05,0,-9,多云,小雪,南风,3-4,16,90,0.0,2,11
盘锦,2020-01-06,2,-9,小雪,多云,西南风,4-5,27,79,0.0,1,24
盘锦,2020-01-07,-4,-12,多云,多云,北风,4-5,26,79,0.0,1,25
盘锦,2020-01-08,-2,-12,多云,晴,北风,3-4,17,79,0.0,2,25
盘锦,2020-01-09,-2,-12,晴,晴,北风,3-4,20,78,0.0,2,25
盘锦,2020-01-10,0,-10,晴,晴,无持续风向,1-2,7,73,0.0,2,25
葫芦岛,2020-01-04,4,-10,晴,晴,北风,3-4,22,74,0.0,3,25
葫芦岛,2020-01-05,2,-6,多云,阴,西南风,3-4,19,93,0.0,2,8
葫芦岛,2020-01-06,4,-6,多云,多云,北风,3-4,16,69,0.0,1,24
葫芦岛,2020-01-07,-1,-14,多云,多云,北风,5-6,43,73,0.0,1,25
葫芦岛,2020-01-08,0,-14,多云,多云,北风,5-6,44,75,0.0,2,25
葫芦岛,2020-01-09,1,-14,多云,多云,北风,4-5,28,80,0.0,2,25
葫芦岛,2020-01-10,1,-11,晴,晴,无持续风向,1-2,5,71,0.0,2,25
呼和浩特,2020-01-04,-1,-12,晴,晴,东北风,1-2,7,57,0.0,0,25
呼和浩特,2020-01-05,-1,-7,中雪,中雪,西南风,1-2,8,85,1.2,1,22
呼和浩特,2020-01-06,-1,-14,多云,阴,北风,1-2,8,68,0.0,1,24
呼和浩特,2020-01-07,-3,-14,多云,晴,东北风,1-2,9,63,0.0,1,25
呼和浩特,2020-01-08,-4,-14,晴,晴,西风,1-2,4,93,0.0,1,20
呼和浩特,2020-01-09,-5,-11,多云,晴,东北风,1-2,6,84,1.0,2,24
呼和浩特,2020-01-10,-6,-12,多云,多云,东北风,1-2,1,91,0.0,1,5
包头,2020-01-04,-4,-14,晴,晴,北风,1-2,10,72,0.0,2,25
包头,2020-01-05,-5,-13,大雪,大雪,西南风,1-2,4,82,1.6,1,24
包头,2020-01-06,-7,-16,多云,阴,南风,1-2,3,71,0.0,0,25
包头,2020-01-07,-7,-18,多云,晴,南风,1-2,7,95,0.0,1,1
包头,2020-01-08,-8,-17,晴,多云,南风,1-2,10,96,0.0,2,3
包头,2020-01-09,-3,-15,小雪,小雪,西南风,1-2,2,85,1.1,1,24
包头,2020-01-10,-5,-15,多云,多云,北风,1-2,9,95,0.0,2,3
乌海,2020-01-04,5,-14,晴,小雪,东南风,3-4,12,75,0.0,1,23
乌海,2020-01-05,0,-8,小雪,阴,东南风,3-4,19,86,0.0,1,23
乌海,2020-01-06,-2,-12,多云,多云,西北风,3-4,16,69,2.4,1,25
乌海,2020-01-07,-2,-16,晴,晴,东北风,3-4,19,85,0.0,1,24
乌海,2020-01-08,-1,-14,晴,多云,西风,3-4,21,91,0.0,2,13
乌海,2020-01-09,-1,-13,多云,多云,西风,3-4,22,95,0.0,2,3
乌海,2020-01-10,-1,-15,阴,多云,西南风,3-4,22,87,0.0,1,23
乌兰察布,2020-01-04,1,-12,晴,多云,南风,3-4,22,68,0.0,3,25
乌兰察布,2020-01-05,-1,-10,小雪,小雪,西南风,3-4,22,93,0.0,1,20
乌兰察布,2020-01-06,-2,-14,多云,多云,北风,3-4,21,87,0.0,1,24
乌兰察布,2020-01-07,-4,-17,多云,晴,东南风,3-4,12,74,0.0,1,25
乌兰察布,2020-01-08,-4,-15,晴,多云,西南风,3-4,17,92,0.0,1,24
乌兰察布,2020-01-09,-3,-16,多云,多云,西北风,3-4,21,86,0.0,2,24
乌兰察布,2020-01-10,-5,-18,多云,晴,东北风,3-4,21,82,0.0,2,14
通辽,2020-01-04,-2,-13,晴,晴,西北风,3-4,12,81,0.0,2,25
通辽,2020-01-05,0,-9,晴,小雪,西南风,3-4,16,90,0.0,1,25
通辽,2020-01-06,-2,-14,小雪,晴,西南风,3-4,23,90,0.0,2,24
通辽,2020-01-07,-6,-16,晴,晴,北风,3-4,13,85,0.9,2,25
通辽,2020-01-08,-5,-16,晴,晴,西北风,3-4,22,78,0.0,2,25
通辽,2020-01-09,-4,-13,晴,晴,西南风,1-2,10,77,0.0,2,25
通辽,2020-01-10,-4,-15,晴,晴,西北风,3-4,14,86,0.0,2,25
赤峰,2020-01-04,2,-10,晴,晴,西北风,3-4,23,69,0.0,3,25
赤峰,2020-01-05,4,-6,多云,多云,西南风,3-4,18,75,0.0,0,24
赤峰,2020-01-06,1,-11,多云,晴,西北风,4-5,26,73,0.0,1,25
赤峰,2020-01-07,-3,-13,多云,晴,东北风,1-2,1,56,0.0,2,25
赤峰,2020-01-08,-2,-14,晴,晴,北风,1-2,3,48,0.0,2,25
